economic_exposure_family_id,fund_name,ticker,isin,trading_currency,currency_hedging_status,alternate_ticker,alternate_isin,alternate_trading_currency,signal_status_at_2026_08_21,implementation_role,a5c_current_status,automatic_alternate_permitted,historical_back_projection
GLOBAL_AI,iShares AI Adopters & Applications UCITS ETF,AIAA,IE000Q9W2IR3,GBP,UNHEDGED,IAIX,IE000LGWDNE5,GBP,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,YES_ONLY_AFTER_CURRENT_SIPP_CONFIRMATION,PROHIBITED
GLOBAL_BATTERY_EV,WISDOMTREE ISSUER ICAV WT BATTERY SOLUTIONS UCITS ETF - USD ACC,CHRG,IE00BKLF1R75,GBP,UNHEDGED,VOLT,IE00BKLF1R75,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_BIOTECHNOLOGY,INVESCO MARKETS PLC INVESCO NASDAQ BIOTECH UCITS ETF ACC,SBIX,IE00BQ70R696,GBP,UNHEDGED,SBIO,IE00BQ70R696,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_CLEAN_ENERGY,iShares Global Clean Energy Transition UCITS ETF,INRA,IE000U58J0M1,GBP,UNHEDGED,GCEX,IE00BLRB0028,GBP,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,YES_ONLY_AFTER_CURRENT_SIPP_CONFIRMATION,PROHIBITED
GLOBAL_CYBERSECURITY,WISDOMTREE ISSUER ICAV WT CYBERSECURITY UCITS ETF - USD ACC,CYSE,IE00BLPK3577,GBP,UNHEDGED,WCBR,IE00BLPK3577,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_GENOMICS,ARK INVEST UCITS ICAV ARK GENOMIC REVOLUTION UCITS ETF,ARCG,IE000O5M6XO1,GBP,UNHEDGED,ARKG,IE000O5M6XO1,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_GOLD_MINERS,iShares Gold Producers UCITS ETF,SPGP,IE00B6R52036,GBP,UNHEDGED,IAUP,IE00B6R52036,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_INFRASTRUCTURE,,INFR,IE00B1FZS467,GBP,,IDIN,IE00B1FZS467,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_OIL_GAS,iShares Oil & Gas Exploration & Production UCITS ETF,SPOG,IE00B6R51Z18,GBP,UNHEDGED,IOGP,IE00B6R51Z18,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_QUANTUM_COMPUTING,iShares Quantum Computing UCITS ETF,QANT,IE000C6ITGC8,GBP,UNHEDGED,QNTG,IE0007Y8Y157,GBP,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,YES_ONLY_AFTER_CURRENT_SIPP_CONFIRMATION,PROHIBITED
GLOBAL_RETAIL,GLOBAL X ETFS ICAV GLOBAL X E-COMMERCE UCITS ETF,EBIG,IE00BMH5XY61,GBP,UNHEDGED,EBIZ,IE00BMH5XY61,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_ROBOTICS_AUTOMATION,iShares Automation & Robotics UCITS ETF,RBTX,IE00BYZK4552,GBP,UNHEDGED,RBOT,IE00BYZK4552,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_SEMICONDUCTORS,VANECK UCITS ETFS PLC VANECK SEMICONDUCTOR UCITS ETF,SMGB,IE00BMC38736,GBP,UNHEDGED,SMH,IE00BMC38736,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_SILVER_MINERS,GLOBAL X ETFS ICAV GLOBAL X SILVER MINERS UCITS ETF,SILG,IE000UL6CLP7,GBP,UNHEDGED,SILV,IE000UL6CLP7,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_SOFTWARE,WISDOMTREE ISSUER ICAV WT CLOUD COMPUTING UCITS ETF USD ACC,KLWD,IE00BJGWQN72,GBP,UNHEDGED,WCLD,IE00BJGWQN72,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_SOLAR,INVESCO MARKETS II PLC IVZ SOLAR ENERGY UCITS ETF,RAYS,IE00BM8QRZ79,GBP,UNHEDGED,ISUN,IE00BM8QRZ79,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_TRANSPORTATION,LEGAL & GENERAL UCITS ETF PLC L&G ECOMMERCE LOGISTICS GO UCITS ETF,ECOG,IE00BF0M6N54,GBP,UNHEDGED,ECOM,IE00BF0M6N54,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_URANIUM_NUCLEAR,VANECK UCITS ETFS PLC VANECK URANIUM AND NUCLEAR UCITS ETF,NUCG,IE000M7V94E1,GBP,UNHEDGED,NUCL,IE000M7V94E1,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
GLOBAL_WATER,iShares Global Water UCITS ETF,IH2O,IE00B1TXK627,GBP,UNHEDGED,DH2O,IE00B1TXK627,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
US_AEROSPACE_DEFENCE,Future of US Defence UCITS ETF,SEAL,IE000KDY10O3,GBP,,GIJO,IE000KDY10O3,USD,NOT_SIGNAL_READY_ALL_HORIZONS_WARMUP,M2_FAMILY,CURRENT_LINE_RECORDED_NOT_CURRENTLY_SIGNAL_READY,NO_USD_OR_EUR_LINE,PROHIBITED
US_BANKS,XTRACKERS (IE) PLC X MSCI USA BANKS ETF,XUFB,IE00BDVPTJ63,GBP,UNHEDGED,BNKS,IE00BD3V0B10,USD,SIGNAL_READY,M2_FAMILY,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,NO_USD_OR_EUR_LINE,PROHIBITED
