economic_exposure_family_id,economic_exposure_name,primary_rotation_role,first_endpoint_date,latest_endpoint_date,five_year_start_static,latest_maturity,current_implementable_view,valid_signal_dates_21,valid_signal_dates_42,valid_signal_dates_63,valid_signal_dates_126,valid_signal_dates_252,warning
EUROPE_EX_UK,Developed Europe excluding the UK,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2239,2221,2204,2141,2015,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_FINANCIALS,Broad Europe financials sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,NO,2903,2861,2819,2693,2441,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_HEALTHCARE,Broad Europe healthcare sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,NO,2838,2817,2797,2734,2608,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_INDUSTRIALS,Broad Europe industrials sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2898,2856,2814,2688,2436,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_INFRASTRUCTURE,Europe listed infrastructure,THEME_ROTATION,2000-05-02,2026-08-21,False,NEW,YES,112,91,70,7,0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_MATERIALS,Broad Europe materials sector,SECTOR_ROTATION,2000-05-02,2026-08-21,False,DEVELOPING,YES,401,333,313,250,124,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_REAL_ESTATE,Europe listed real estate,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3399,3334,3293,3230,3104,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_TECHNOLOGY,Broad Europe technology sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2894,2852,2810,2684,2432,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_UTILITIES,Broad Europe utilities sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2887,2845,2803,2677,2425,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROZONE,Eurozone equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3335,3314,3293,3230,3104,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROZONE_USD_HEDGED,Eurozone equities hedged to USD,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2329,2213,2115,1916,1635,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_AEROSPACE_DEFENCE,Aerospace and defence businesses,THEME_ROTATION,2000-05-02,2026-08-21,False,NEW,YES,468,447,426,363,237,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_AGRIBUSINESS,Agricultural inputs and food value chain,THEME_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3543,3485,3431,3327,3201,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_AI,Artificial-intelligence value chain,THEME_ROTATION,2000-05-02,2026-08-21,False,DEVELOPING,YES,973,952,931,868,742,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_ALL_WORLD,Developed and emerging all-world equities,BENCHMARK_REFERENCE,2000-05-02,2026-08-21,True,MATURE,NO,3577,3556,3535,3472,3346,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_BATTERY_EV,Battery and electric-vehicle value chain,THEME_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2144,2123,2102,2039,1913,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_BIOTECHNOLOGY,Biotechnology industry,INDUSTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2705,2684,2663,2600,2474,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_CLEAN_ENERGY,Clean-energy value chain,THEME_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,1444,1423,1402,1339,1213,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_COMMUNICATION_SERVICES,Broad global communication services sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2527,2485,2443,2317,2066,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_CONSUMER_DISCRETIONARY,Broad global consumer discretionary sector,SECTOR_ROTATION,2000-05-02,2026-08-21,False,DEVELOPING,YES,390,322,292,229,103,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_CONSUMER_STAPLES,Broad global consumer staples sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2569,2548,2527,2465,2339,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_CYBERSECURITY,Global cybersecurity businesses,THEME_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,1548,1527,1509,1446,1320,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_DEVELOPED_WORLD,Broad developed-world equities,BENCHMARK_REFERENCE,2000-05-02,2026-08-21,True,MATURE,NO,3633,3517,3444,3319,3193,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_ENERGY,Broad global energy sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3671,3650,3629,3568,3442,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_FINANCIALS,Broad global financials sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3316,3295,3274,3211,3089,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_GENOMICS,Genomics and genomic medicine,THEME_ROTATION,2000-05-02,2026-08-21,False,DEVELOPING,YES,1188,1167,1146,1083,957,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_GOLD_MINERS,Global gold-mining equities,INDUSTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,4173,4131,4089,3963,3713,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_HEALTHCARE,Broad global healthcare sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,NO,3324,3303,3282,3219,3097,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_INDUSTRIALS,Broad global industrials sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2589,2568,2547,2484,2360,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_INFRASTRUCTURE,Global listed infrastructure,THEME_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,4857,4806,4764,4638,4388,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_MATERIALS,Broad global materials sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,1426,1385,1345,1221,979,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_OIL_GAS,Global oil and gas equities,INDUSTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3391,3330,3294,3231,3106,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_QUANTUM_COMPUTING,Quantum-computing ecosystem,THEME_ROTATION,2000-05-02,2026-08-21,False,NEW,YES,294,273,252,189,63,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_REAL_ESTATE,Global listed property and REITs,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,1850,1808,1766,1640,1390,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_RETAIL,Retail and e-commerce businesses,INDUSTRY_ROTATION,2000-05-02,2026-08-21,False,DEVELOPING,YES,1178,1157,1136,1073,947,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_ROBOTICS_AUTOMATION,Robotics and industrial automation,THEME_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2488,2467,2446,2383,2257,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SEMICONDUCTORS,Global semiconductor value chain,THEME_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3186,3165,3144,3085,2959,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SILVER_MINERS,Global silver-mining equities,INDUSTRY_ROTATION,2000-05-02,2026-08-21,False,DEVELOPING,YES,1061,1040,1019,956,830,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SMALL_CAP,Global small-cap equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3184,3163,3142,3079,2953,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SOFTWARE,Software and cloud businesses,INDUSTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,1908,1887,1866,1803,1677,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SOLAR,Solar-energy value chain,THEME_ROTATION,2000-05-02,2026-08-21,False,DEVELOPING,YES,1143,1101,1081,1022,898,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_TECHNOLOGY,Broad global technology sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,NO,2576,2555,2534,2471,2347,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_TRANSPORTATION,Transportation and logistics,INDUSTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2139,2118,2097,2034,1908,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_URANIUM_NUCLEAR,Uranium miners and nuclear-energy value chain,THEME_ROTATION,2000-05-02,2026-08-21,False,DEVELOPING,YES,1064,1043,1022,959,833,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_UTILITIES,Broad global utilities sector,SECTOR_ROTATION,2000-05-02,2026-08-21,False,MATURE,YES,1528,1448,1370,1182,991,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_WATER,Water infrastructure and services,THEME_ROTATION,2000-05-02,2026-08-21,False,MATURE,YES,2980,2939,2920,2871,2779,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDIA,Broad Indian equities,COUNTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,4197,4080,3983,3761,3460,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
JAPAN,Broad Japanese equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3380,3364,3346,3283,3157,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
JAPAN_EUR_HEDGED,Broad Japanese equities hedged to EUR,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3912,3870,3830,3708,3483,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
JAPAN_GBP_HEDGED,Broad Japanese equities hedged to GBP,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3529,3508,3487,3424,3298,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
SOUTH_KOREA,Broad South Korean equities,COUNTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,4947,4893,4833,4681,4446,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TAIWAN,Broad Taiwanese equities,COUNTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,4921,4838,4757,4510,4101,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
UK_BROAD_MARKET,Broad UK equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3570,3489,3436,3316,3100,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
UK_LARGE_CAP,UK large-cap equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,6595,6553,6512,6388,6137,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
UK_MID_CAP,UK mid-cap equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,5607,5565,5523,5399,5147,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
UK_SMALL_CAP,UK small-cap equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3341,3320,3299,3236,3110,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_AEROSPACE_DEFENCE,United States aerospace and defence,THEME_ROTATION,2000-05-02,2026-08-21,False,NEW,YES,3,0,0,0,0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_BANKS,Us banking industry,INDUSTRY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,1923,1902,1881,1818,1693,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_BROAD_LARGE_CAP,Broad US large-cap equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,6148,6127,6106,6043,5917,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_BROAD_LARGE_CAP_EUR_HEDGED,Broad US large-cap equities hedged to EUR,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3789,3709,3627,3455,3089,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_BROAD_LARGE_CAP_GBP_HEDGED,Broad US large-cap equities hedged to GBP,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3958,3941,3922,3859,3737,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_COMMUNICATION_SERVICES,Broad communication-services sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,1379,1358,1337,1274,1148,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_CONSUMER_STAPLES,Broad consumer-staples sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2785,2764,2743,2680,2554,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_FINANCIALS,Broad global financials sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3615,3541,3486,3396,3270,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_HEALTHCARE,Broad global healthcare sector,SECTOR_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,2783,2762,2741,2678,2552,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_NASDAQ_100,US Nasdaq-100 large-cap growth-biased equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,4314,4242,4181,4085,3959,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_SMALL_CAP,US small-cap equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3317,3296,3275,3212,3086,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
US_TOTAL_MARKET,Broad all-cap US equities,BROAD_GEOGRAPHY_ROTATION,2000-05-02,2026-08-21,True,MATURE,YES,3280,3238,3196,3070,2818,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
