duplicate_group_id,economic_exposure_family_id,grouping_basis,same_isin_multiple_listing_rule,accumulating_distributing_rule,hedge_rule,provider_rule,rule_version,warning,share_class_count,listing_count,provider_count,member_isins
DUP-EUROPE_AEROSPACE_DEFENCE,EUROPE_AEROSPACE_DEFENCE,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5,10,5,IE0002Y8CX98;IE000IAXNM41;IE000WRQ9RR1;LU3038520774;LU3047998896
DUP-EUROPE_BANKS,EUROPE_BANKS,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3,3,2,IE00B3Q19T94;LU1829219390;LU1834983477
DUP-EUROPE_BROAD,EUROPE_BROAD,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,6,10,6,FR0010261198;IE000AGFZM58;IE00B4K48X80;IE00B60SWY32;IE00B945VV12;LU0446734104
DUP-EUROPE_CONSUMER_STAPLES,EUROPE_CONSUMER_STAPLES,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,2,1,IE00BKWQ0D84
DUP-EUROPE_ENERGY,EUROPE_ENERGY,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,2,1,IE00BYTRR863
DUP-EUROPE_EX_UK,EUROPE_EX_UK,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5,8,5,IE00BFXR5V83;IE00BGV5VM45;IE00BK5BQY34;IE00BKY58625;IE00BYX5K108
DUP-EUROPE_FINANCIALS,EUROPE_FINANCIALS,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2,4,1,IE00BKWQ0G16;IE00BYTRR970
DUP-EUROPE_HEALTHCARE,EUROPE_HEALTHCARE,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3,5,2,IE00BKWQ0H23;IE00BYTRRB94;LU1834986900
DUP-EUROPE_INDUSTRIALS,EUROPE_INDUSTRIALS,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,1,1,IE00BYTRRC02
DUP-EUROPE_INFRASTRUCTURE,EUROPE_INFRASTRUCTURE,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2,3,2,IE000PTMIE90;IE000TIZ5AP4
DUP-EUROPE_MATERIALS,EUROPE_MATERIALS,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,1,1,IE00BYTRRF33
DUP-EUROPE_TECHNOLOGY,EUROPE_TECHNOLOGY,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,2,1,IE00BYTRRD19
DUP-EUROPE_UTILITIES,EUROPE_UTILITIES,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,1,1,IE00BYTRRH56
DUP-EUROZONE,EUROZONE,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5,7,5,IE00067X7JX0;IE000MWUQBJ0;IE00B53L3W79;IE00BH04GL39;LU1646360971
DUP-EUROZONE_USD_HEDGED,EUROZONE_USD_HEDGED,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,1,1,IE00BWZN1T31
DUP-EUR_OVERNIGHT_CASH,EUR_OVERNIGHT_CASH,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2,3,2,FR0010510800;LU3025345516
DUP-GBP_CORPORATE_IG,GBP_CORPORATE_IG,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5,6,4,IE00B00FV011;IE00B4L60H17;IE00BCBJF711;IE00BKW9SV11;IE00BLRPQM83
DUP-GBP_OVERNIGHT_CASH,GBP_OVERNIGHT_CASH,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3,3,3,IE0006H7HTU4;IE0006N7AK90;IE000WNEYKM1
DUP-GLOBAL_AEROSPACE_DEFENCE,GLOBAL_AEROSPACE_DEFENCE,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5,10,5,IE000017NMH7;IE000BRM9046;IE000C7EUDG1;IE000JCW3DZ3;IE000NVDQXE1
DUP-GLOBAL_AGGREGATE_BONDS_GBP_HEDGED,GLOBAL_AGGREGATE_BONDS_GBP_HEDGED,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,1,1,IE00BF540Y54
DUP-GLOBAL_AGRIBUSINESS,GLOBAL_AGRIBUSINESS,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1,2,1,IE00B6R52143
DUP-GLOBAL_AI,GLOBAL_AI,EFFECTIVELY_EQUIVALENT_ECONOMIC_EXPOSURE_WITH_SAME_HEDGE_STATE,ONE_SHARE_CLASS_MULTIPLE_IMPLEMENTATION_LINES,SEPARATE_SHARE_CLASSES_SAME_ECONOMIC_FAMILY_AND_DUPLICATE_GROUP,HEDGED_AND_UNHEDGED_ARE_DIFFERENT_ECONOMIC_FAMILIES_AND_DUPLICATE_GROUPS,EQUIVALENT_PROVIDER_PRODUCTS_ARE_ALTERNATIVE_IMPLEMENTATIONS_NOT_EXTRA_OPPORTUNITIES,UKACTIVE-DUPLICATE-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,4,7,4,IE000IM4K4K2;IE000LCKJ888;IE000LGWDNE5;IE000Q9W2IR3
