geography_code,geography_label,parent_geography_code,geographic_scope,current_economic_opportunity_included,included_family_ids,economic_distinctiveness_assessment,inclusion_rule,listing_currency_may_determine_geography,taxonomy_version,warning
JAPAN,Japan,DEVELOPED_ASIA_PACIFIC,SINGLE_COUNTRY,YES,JAPAN;JAPAN_EUR_HEDGED;JAPAN_GBP_HEDGED,"Distinct currency, policy, and market structure",REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
DEVELOPED_ASIA_PACIFIC,Developed Asia-Pacific,GLOBAL,REGION,YES,DEVELOPED_ASIA_PACIFIC,Developed Pacific markets,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
ASIA_PACIFIC_EX_JAPAN,Asia-Pacific ex-Japan,GLOBAL,REGION,YES,ASIA_PACIFIC_EX_JAPAN,Regional opportunity excluding Japan,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EMERGING_MARKETS,Emerging Markets,GLOBAL,MULTI_REGION,YES,EMERGING_MARKETS,Broad emerging-market opportunity,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EMERGING_ASIA,Emerging Asia,EMERGING_MARKETS,REGION,YES,EMERGING_ASIA,Emerging Asian opportunity,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA,China,EMERGING_ASIA,SINGLE_COUNTRY,YES,CHINA_A_SHARES;CHINA_BROAD;CHINA_BROAD_USD_HEDGED,Large distinct emerging market,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDIA,India,EMERGING_ASIA,SINGLE_COUNTRY,YES,INDIA,Large distinct emerging market,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
LATIN_AMERICA,Latin America,EMERGING_MARKETS,REGION,YES,LATIN_AMERICA,Commodity- and financials-sensitive region,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
AUSTRALIA,Australia,DEVELOPED_ASIA_PACIFIC,SINGLE_COUNTRY,YES,AUSTRALIA,Resource-heavy developed market,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SOUTH_KOREA,South Korea,ASIA_PACIFIC_EX_JAPAN,SINGLE_COUNTRY,YES,SOUTH_KOREA,Distinct export/technology market; provider development classification differs,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
TAIWAN,Taiwan,EMERGING_ASIA,SINGLE_COUNTRY,YES,TAIWAN,Distinct technology-heavy market,REQUIRES_DISTINCT_EXPOSURE_AND_AT_LEAST_ONE_CURATED_CURRENT_IMPLEMENTATION,NO,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
