taxonomy_node_id,node_type,sector,industry,parent_node_id,current_opportunity_present,sector_is_not_theme,taxonomy_version,warning
INDUSTRY-INDUSTRIALS-AIRLINES,INDUSTRY,INDUSTRIALS,AIRLINES,SECTOR-INDUSTRIALS,NO,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-INDUSTRIALS-INDUSTRIAL_AUTOMATION,INDUSTRY,INDUSTRIALS,INDUSTRIAL_AUTOMATION,SECTOR-INDUSTRIALS,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-INDUSTRIALS-INFRASTRUCTURE,INDUSTRY,INDUSTRIALS,INFRASTRUCTURE,SECTOR-INDUSTRIALS,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SECTOR-CONSUMER_DISCRETIONARY,SECTOR,CONSUMER_DISCRETIONARY,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-CONSUMER_DISCRETIONARY-BROAD_SECTOR,INDUSTRY,CONSUMER_DISCRETIONARY,BROAD_SECTOR,SECTOR-CONSUMER_DISCRETIONARY,NO,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-CONSUMER_DISCRETIONARY-RETAIL,INDUSTRY,CONSUMER_DISCRETIONARY,RETAIL,SECTOR-CONSUMER_DISCRETIONARY,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-CONSUMER_DISCRETIONARY-HOME_CONSTRUCTION,INDUSTRY,CONSUMER_DISCRETIONARY,HOME_CONSTRUCTION,SECTOR-CONSUMER_DISCRETIONARY,NO,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SECTOR-CONSUMER_STAPLES,SECTOR,CONSUMER_STAPLES,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-CONSUMER_STAPLES-BROAD_SECTOR,INDUSTRY,CONSUMER_STAPLES,BROAD_SECTOR,SECTOR-CONSUMER_STAPLES,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-CONSUMER_STAPLES-AGRIBUSINESS,INDUSTRY,CONSUMER_STAPLES,AGRIBUSINESS,SECTOR-CONSUMER_STAPLES,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SECTOR-COMMUNICATION_SERVICES,SECTOR,COMMUNICATION_SERVICES,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-COMMUNICATION_SERVICES-BROAD_SECTOR,INDUSTRY,COMMUNICATION_SERVICES,BROAD_SECTOR,SECTOR-COMMUNICATION_SERVICES,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-COMMUNICATION_SERVICES-TELECOMMUNICATIONS,INDUSTRY,COMMUNICATION_SERVICES,TELECOMMUNICATIONS,SECTOR-COMMUNICATION_SERVICES,NO,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-COMMUNICATION_SERVICES-INTERACTIVE_MEDIA,INDUSTRY,COMMUNICATION_SERVICES,INTERACTIVE_MEDIA,SECTOR-COMMUNICATION_SERVICES,NO,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-COMMUNICATION_SERVICES-INTERNET_SERVICES,INDUSTRY,COMMUNICATION_SERVICES,INTERNET_SERVICES,SECTOR-COMMUNICATION_SERVICES,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SECTOR-ENERGY,SECTOR,ENERGY,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-ENERGY-BROAD_SECTOR,INDUSTRY,ENERGY,BROAD_SECTOR,SECTOR-ENERGY,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-ENERGY-OIL_AND_GAS,INDUSTRY,ENERGY,OIL_AND_GAS,SECTOR-ENERGY,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-ENERGY-URANIUM_AND_NUCLEAR,INDUSTRY,ENERGY,URANIUM_AND_NUCLEAR,SECTOR-ENERGY,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SECTOR-MATERIALS,SECTOR,MATERIALS,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-MATERIALS-BROAD_SECTOR,INDUSTRY,MATERIALS,BROAD_SECTOR,SECTOR-MATERIALS,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-MATERIALS-STEEL,INDUSTRY,MATERIALS,STEEL,SECTOR-MATERIALS,NO,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-MATERIALS-GOLD_MINERS,INDUSTRY,MATERIALS,GOLD_MINERS,SECTOR-MATERIALS,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-MATERIALS-SILVER_MINERS,INDUSTRY,MATERIALS,SILVER_MINERS,SECTOR-MATERIALS,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SECTOR-UTILITIES,SECTOR,UTILITIES,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-UTILITIES-BROAD_SECTOR,INDUSTRY,UTILITIES,BROAD_SECTOR,SECTOR-UTILITIES,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-UTILITIES-RENEWABLE_ENERGY,INDUSTRY,UTILITIES,RENEWABLE_ENERGY,SECTOR-UTILITIES,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
SECTOR-REAL_ESTATE,SECTOR,REAL_ESTATE,NOT_APPLICABLE,SECTOR-ROOT,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-REAL_ESTATE-BROAD_SECTOR,INDUSTRY,REAL_ESTATE,BROAD_SECTOR,SECTOR-REAL_ESTATE,NO,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
INDUSTRY-REAL_ESTATE-REITS_AND_PROPERTY,INDUSTRY,REAL_ESTATE,REITS_AND_PROPERTY,SECTOR-REAL_ESTATE,YES,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
