registry_order,signal_id,signal_family,role,registry_class,lookback_sessions,skip_sessions,volatility_window_sessions,components,central_signal_id,formula,definition_hash,predeclared,portfolio_rule,deepvue_used,historical_eligibility_warning
15,MOM_105,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,SECONDARY_NEIGHBOURHOOD,105.0,,,,MOM_126,"TR(t-105,t)",02e0a44c597efd29d653c33aba57e5662cb676f5bbe78669b042aba609a7ab40,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
16,MOM_147,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,SECONDARY_NEIGHBOURHOOD,147.0,,,,MOM_126,"TR(t-147,t)",23d964b18c13065375ea3d54bc5796f820671c1264ec0bc0d668554f6fe9a6fb,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
17,MOM_210,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,SECONDARY_NEIGHBOURHOOD,210.0,,,,MOM_252,"TR(t-210,t)",c38541a3069ac5dbd74d25584037e0fc91714ade27e9df3fab5e40a729c43217,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
18,MOM_294,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,SECONDARY_NEIGHBOURHOOD,294.0,,,,MOM_252,"TR(t-294,t)",4d05ba0f70f77e1b2ca21b5f797c4952b5de0bc8d6cb1d7e0759a7ca679247b2,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
19,ABS_POS_210,ABSOLUTE_MOMENTUM_QUALIFICATION,BINARY_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,210.0,,,,ABS_POS_252,1 if MOM_210 > 0 else 0,6f23139b15f7ebba483f4900edf3577ca304b7e7ae415cd9c633ec9eea3fafee,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
20,ABS_POS_294,ABSOLUTE_MOMENTUM_QUALIFICATION,BINARY_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,294.0,,,,ABS_POS_252,1 if MOM_294 > 0 else 0,613d2e590276cfc62e94cef4f45749a8ddf91a914a75dd37c9d12e7c81ad8698,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
21,ABOVE_GBP_CASH_210,CASH_RELATIVE_QUALIFICATION,BINARY_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,210.0,,,,ABOVE_GBP_CASH_252,1 if MOM_210 exceeds contemporaneous 210-session A2 actual-GBP-cash return else 0,7d417f42d92da05ce2719023dde03f368e0da2e51717ac7fd1005d23b12602ea,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
22,ABOVE_GBP_CASH_294,CASH_RELATIVE_QUALIFICATION,BINARY_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,294.0,,,,ABOVE_GBP_CASH_252,1 if MOM_294 exceeds contemporaneous 294-session A2 actual-GBP-cash return else 0,3ab6746c49665082820dd916f53dcca78fc6d1c060b51ed482429453ed793e84,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
23,TREND_MA_210,TOTAL_RETURN_TREND_QUALIFICATION,BINARY_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,210.0,,,,TREND_MA_252,1 if total-return wealth index exceeds its trailing 210-session simple moving average else 0,95f45802fc6dc3230da1015e1ec2af640a02449c865a7389d8e8d829eedc95fd,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
24,TREND_MA_294,TOTAL_RETURN_TREND_QUALIFICATION,BINARY_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,294.0,,,,TREND_MA_252,1 if total-return wealth index exceeds its trailing 294-session simple moving average else 0,3b85cc13861a1d1f84dc895a3fef14114dfd8c2e354a18d0aec23f35a37e879a,True,NOT_APPLICABLE,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
