lineage_item_id,lineage_action,a0a1_record_id,field,a0a1_value,a2_value,evidence,status,materiality
A2LIN-07B62CB9424B762C,CORRECTION,LIST-51B428527D70C531,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row GDGB.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-FD0C362CDA8A4D18,CORRECTION,LIST-53A032EF06E9140E,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row CLO6.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-23FE6EB7980890F3,CORRECTION,LIST-553325DCCF363E2E,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row HIUS.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-3926C9F60E00B62C,CORRECTION,LIST-5574D2A8F5ED6F6F,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row IJPH.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-3B6DEA54057A131E,CORRECTION,LIST-5BDF9BF54DB52CF8,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VJPN.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-CEE37086CD39AB04,CORRECTION,LIST-5E9BC2C2504F7B87,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row LITG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-F29D41CEC62AB672,CORRECTION,LIST-60C1122671C2DF2C,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row INGH.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-1682E99B0FE9A2E4,CORRECTION,LIST-630DABDA2B1F3BBF,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row XWES.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-3C04777B8530FAFC,CORRECTION,LIST-654C5A89606CA6E6,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VWRL.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-1137D67F8CFBF19D,CORRECTION,LIST-6727A8775DF136E7,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row DFND.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-8D6FFB7B0795DF55,CORRECTION,LIST-6C7F04A7401E049E,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row METU.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-09074613620E4127,CORRECTION,LIST-73221100F2613C85,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row BUGG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-3BE04DF2848B0183,CORRECTION,LIST-748C5522346E9D79,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row KWBP.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-C9AF37B2A9042455,CORRECTION,LIST-7529CAC03FC2DD65,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row XWFS.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-59E39E0A5696C23F,CORRECTION,LIST-84FEDAD98B48C4B9,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row HNSS.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-95F0E8010E752A90,CORRECTION,LIST-89C63DDE6DEB254E,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row XSMW.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-095159541DB347DB,CORRECTION,LIST-8A311B083A50597F,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row ISXF.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-9DF6E26004D659B7,CORRECTION,LIST-8B13884E3BB95C07,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row HCHS.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-52F221BB96C115A6,CORRECTION,LIST-8C6039F79BD309E4,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row INXG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-FDFE16B6F3DE9E2B,CORRECTION,LIST-941EA47E8BA3924E,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row SUKC.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-2897A4AE1795A053,CORRECTION,LIST-958190167CC05BF5,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row HSXE.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-D9BEE44BA605F868,CORRECTION,LIST-97D1F42F0F517F73,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row E127.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-BEEFBE6FFC1D5E3A,CORRECTION,LIST-9A75811CA32DFC4B,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row GLTY.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-162660BE3649A094,CORRECTION,LIST-9B73AF39743A431D,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row H50A.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-3A0B8D7C4D2EC496,CORRECTION,LIST-9B7894E43CDDB2B6,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VUKE.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-326EE3EB72B4B5ED,CORRECTION,LIST-9F1400E39777DC70,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row HSPS.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-2F82DF70B8321782,CORRECTION,LIST-A24B3C7F925C7F36,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row IIND.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-ECA465362837AD4E,CORRECTION,LIST-A2758BC995EBC5AF,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row AQWG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-3F5691B319A2C572,CORRECTION,LIST-A47A3AF3D5A6EDBC,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row IGLT.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-4C137EB2ACF67BF1,CORRECTION,LIST-A6BE4BD6C3E6BEF3,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row WOSC.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-F7A41B8D14435146,CORRECTION,LIST-AB9F374EE1F96E3D,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VERG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-480F608054AE86DC,CORRECTION,LIST-AFA3D97768E28091,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row URND.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-708C313A5C2959A9,CORRECTION,LIST-B5A5F99530D02E33,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row CURG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-2B4EB6051DB11DB4,CORRECTION,LIST-BA9D3A22BBC7914B,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row XWUS.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-B02ECC989A7CF319,CORRECTION,LIST-BF084EBD037C41FA,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row CSPE.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-191497754AD870E9,CORRECTION,LIST-C48E38A07773B0BE,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row SLXX.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-BFAF120FFE0B7F9C,CORRECTION,LIST-C5E8CA009D9113FC,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row EMGU.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-F8043ED30817C58C,CORRECTION,LIST-CCED7EF48A25579A,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VGPA.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-CA9E46D114CB8EA6,CORRECTION,LIST-CD00F12D342F6ED6,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row KWBH.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-A0EB19A1C3486008,CORRECTION,LIST-CEE5449F74EC9293,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row GNOG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-5EB7ED14BA1DD2ED,CORRECTION,LIST-D2ADC9CBC91E6000,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VGOV.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-71020F9F3897B805,CORRECTION,LIST-D486848129D31D10,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row SILG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-D12C44F9E0C0028C,CORRECTION,LIST-D4B0CED19DC766DD,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row DFEU.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-7E01D3C926D32254,CORRECTION,LIST-D5D28F4AE32EEB5C,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row NRJL.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-65629D0232B44834,CORRECTION,LIST-D61FF6BA88EC013D,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row QYLP.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-159F510547592F87,CORRECTION,LIST-D63578665A77383E,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row IGL5.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-2583388EF972945B,CORRECTION,LIST-D6EA80B3462ED2A6,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row TREG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-88F1513D3A475DB4,CORRECTION,LIST-D70D334EBCFF0D37,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row RAYG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-18D2F1047ED2DCE4,CORRECTION,LIST-D820602E1B5E7335,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row LCJP.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-F6F47C0BD1900BEF,CORRECTION,LIST-E3DCD5FD9C50475C,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row HIPS.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-7C18930F20C2925E,CORRECTION,LIST-EA19D458108482CE,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row GXLF.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-FAE874A15CBD8538,CORRECTION,LIST-EDE0C2A305169ADD,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row FRIN.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-3A626DC5B0153D9A,CORRECTION,LIST-EE1D7FCB4BE4601C,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row HIES.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-3BEAE3C8C5E87172,CORRECTION,LIST-EEC2A0F2E8721E35,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row BNKE.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-C91EF2C2143F647F,CORRECTION,LIST-F5185DE9554ADCDC,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row HEAE.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-D3A2A4F4B9C90032,CORRECTION,LIST-FC485117A7A5C834,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row VFEM.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-02CB128AC3066CE0,CORRECTION,LIST-FD2F52E4B19286D7,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row ARMG.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-F24D88F431F4E5C7,CORRECTION,LIST-FE424FF99F77AE84,price_unit,GBX,GBP,EODHD active LSE catalogue exact ticker+ISIN row XGES.LSE; representative Yahoo chart currency cross-check,APPLIED_IN_A2_ONLY_A0A1_IMMUTABLE,CRITICAL_100X_PRICE_SCALE_CONTROL
A2LIN-2DB2A6D3A3C333A6,HISTORICAL_EXTENSION,SC-76140315774BA72E,historical_exchange_listing,NOT_IN_CURRENT_A0A1_LISTING_MASTER,A2HISTLIST-038BEFD4410DE91F,EODHD delisted LSE catalogue exact ISIN IE00B466KX20 code EMAS,ADDED_AS_DISTINCT_HISTORICAL_LISTING,SURVIVORSHIP_CONTROL
A2LIN-0F6B7B2A18132E41,HISTORICAL_EXTENSION,SC-3108ECD63BA1F32D,historical_exchange_listing,NOT_IN_CURRENT_A0A1_LISTING_MASTER,A2HISTLIST-BBDF7C9F22F9BE2E,EODHD delisted LSE catalogue exact ISIN LU0533033311 code HLTG,ADDED_AS_DISTINCT_HISTORICAL_LISTING,SURVIVORSHIP_CONTROL
