child_exposure_family_id,child_exposure_name,parent_relation_type,parent_exposure_family_id,parent_exists_in_A0A1_master,relationship_basis,child_duplicate_group_id,parent_duplicate_identity,labelled_duplicate_due_only_to_overlap,relationship_status,warning
CHINA_INTERNET,China internet and digital economy,SECONDARY,EMERGING_ASIA,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EMERGING_ASIA,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
DEVELOPED_ASIA_PACIFIC,Developed Asia-Pacific equities,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EMERGING_ASIA,Emerging Asian equities,PRIMARY,EMERGING_MARKETS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EMERGING_MARKETS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EMERGING_MARKETS,Broad emerging-market equities,PRIMARY,GLOBAL_ALL_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_ALL_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_AEROSPACE_DEFENCE,Aerospace and defence businesses,PRIMARY,EUROPE_INDUSTRIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_INDUSTRIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_AEROSPACE_DEFENCE,Aerospace and defence businesses,SECONDARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_BANKS,Europe banking industry,PRIMARY,EUROPE_FINANCIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_FINANCIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_BROAD,Broad developed European equities,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_COMMUNICATION_SERVICES,Broad Europe communication services sector,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_CONSUMER_DISCRETIONARY,Broad Europe consumer discretionary sector,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_CONSUMER_STAPLES,Broad consumer-staples sector,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_ENERGY,Broad Europe energy sector,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_EX_UK,Developed Europe excluding the UK,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_EX_UK,Developed Europe excluding the UK,SECONDARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_FINANCIALS,Broad Europe financials sector,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_HEALTHCARE,Broad Europe healthcare sector,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INDUSTRIALS,Broad Europe industrials sector,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INFRASTRUCTURE,Europe listed infrastructure,PRIMARY,EUROPE_INDUSTRIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_INDUSTRIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INFRASTRUCTURE,Europe listed infrastructure,SECONDARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_MATERIALS,Broad Europe materials sector,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_REAL_ESTATE,Europe listed real estate,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_TECHNOLOGY,Broad Europe technology sector,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_UTILITIES,Broad Europe utilities sector,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROZONE,Eurozone equities,PRIMARY,EUROPE_BROAD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROPE_BROAD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROZONE_USD_HEDGED,Eurozone equities hedged to USD,PRIMARY,EUROZONE,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EUROZONE,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GBP_OVERNIGHT_CASH,Sterling overnight-rate exposure,PRIMARY,ACTUAL_GBP_CASH,NO_EXTERNAL_REFERENCE,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,EXTERNAL_REFERENCE,NO,EXTERNAL_REFERENCE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_AEROSPACE_DEFENCE,Aerospace and defence businesses,PRIMARY,GLOBAL_INDUSTRIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_INDUSTRIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_AI,Artificial-intelligence value chain,PRIMARY,GLOBAL_TECHNOLOGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_TECHNOLOGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BANKS,Global banking industry,PRIMARY,GLOBAL_FINANCIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_FINANCIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BATTERY_EV,Battery and electric-vehicle value chain,PRIMARY,GLOBAL_INDUSTRIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_INDUSTRIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BATTERY_EV,Battery and electric-vehicle value chain,SECONDARY,GLOBAL_MATERIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_MATERIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BIOTECHNOLOGY,Biotechnology industry,PRIMARY,GLOBAL_HEALTHCARE,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_HEALTHCARE,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BIOTECHNOLOGY,Biotechnology industry,SECONDARY,US_HEALTHCARE,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,US_HEALTHCARE,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CLEAN_ENERGY,Clean-energy value chain,PRIMARY,GLOBAL_UTILITIES,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_UTILITIES,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CLEAN_ENERGY,Clean-energy value chain,SECONDARY,GLOBAL_ENERGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_ENERGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_COMMUNICATION_SERVICES,Broad global communication services sector,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CONSUMER_DISCRETIONARY,Broad global consumer discretionary sector,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CONSUMER_STAPLES,Broad global consumer staples sector,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CYBERSECURITY,Global cybersecurity businesses,PRIMARY,GLOBAL_TECHNOLOGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_TECHNOLOGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_DEVELOPED_WORLD,Broad developed-world equities,PRIMARY,GLOBAL_ALL_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_ALL_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_DEVELOPED_WORLD_EUR_HEDGED,Broad developed-world equities hedged to EUR,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_DEVELOPED_WORLD_GBP_HEDGED,Broad developed-world equities hedged to GBP,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_ENERGY,Broad global energy sector,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_FINANCIALS,Broad global financials sector,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_GENOMICS,Genomics and genomic medicine,PRIMARY,GLOBAL_BIOTECHNOLOGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_BIOTECHNOLOGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_GENOMICS,Genomics and genomic medicine,SECONDARY,GLOBAL_HEALTHCARE,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_HEALTHCARE,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_GOLD_MINERS,Global gold-mining equities,PRIMARY,GLOBAL_MATERIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_MATERIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_GOLD_MINERS,Global gold-mining equities,SECONDARY,GOLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GOLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_HEALTHCARE,Broad global healthcare sector,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_INDUSTRIALS,Broad global industrials sector,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_INFRASTRUCTURE,Global listed infrastructure,PRIMARY,GLOBAL_INDUSTRIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_INDUSTRIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_MATERIALS,Broad global materials sector,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_OIL_GAS,Global oil and gas equities,PRIMARY,GLOBAL_ENERGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_ENERGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_QUANTUM_COMPUTING,Quantum-computing ecosystem,PRIMARY,GLOBAL_TECHNOLOGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_TECHNOLOGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_REAL_ESTATE,Global listed property and REITs,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_ROBOTICS_AUTOMATION,Robotics and industrial automation,PRIMARY,GLOBAL_INDUSTRIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_INDUSTRIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_ROBOTICS_AUTOMATION,Robotics and industrial automation,SECONDARY,GLOBAL_TECHNOLOGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_TECHNOLOGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_SEMICONDUCTORS,Global semiconductor value chain,PRIMARY,GLOBAL_TECHNOLOGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_TECHNOLOGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_SILVER_MINERS,Global silver-mining equities,PRIMARY,GLOBAL_MATERIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_MATERIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_SILVER_MINERS,Global silver-mining equities,SECONDARY,SILVER_PHYSICAL,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,SILVER_PHYSICAL,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_SMALL_CAP,Global small-cap equities,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_SMALL_CAP,Global small-cap equities,SECONDARY,GLOBAL_ALL_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_ALL_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_SOFTWARE,Software and cloud businesses,PRIMARY,GLOBAL_TECHNOLOGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_TECHNOLOGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_SOLAR,Solar-energy value chain,PRIMARY,GLOBAL_CLEAN_ENERGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_CLEAN_ENERGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_SOLAR,Solar-energy value chain,SECONDARY,GLOBAL_UTILITIES,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_UTILITIES,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_SPACE,Commercial space economy,PRIMARY,GLOBAL_INDUSTRIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_INDUSTRIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_TECHNOLOGY,Broad global technology sector,PRIMARY,GLOBAL_DEVELOPED_WORLD,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_DEVELOPED_WORLD,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_TRANSPORTATION,Transportation and logistics,PRIMARY,GLOBAL_INDUSTRIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_INDUSTRIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_URANIUM_NUCLEAR,Uranium miners and nuclear-energy value chain,PRIMARY,GLOBAL_ENERGY,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_ENERGY,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_URANIUM_NUCLEAR,Uranium miners and nuclear-energy value chain,SECONDARY,GLOBAL_MATERIALS,YES,ECONOMIC_HIERARCHY_NOT_DUPLICATION,PRESERVED_IN_A0A1_MASTER,GLOBAL_MATERIALS,NO,ACTIVE_MAP,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
