a2_economic_exposure_family_id,implementation_share_class_id,implementation_listing_id,isin,ticker,exchange,mic,issuer,product_name,underlying_index_or_objective,index_provider_description,geographic_exposure,sector_or_industry_exposure,hedging_status,breadth_level,fund_inception_date,listing_inception_date,first_A2_observation,last_A2_observation,selected_session_count,exact_evidence_source,intended_fingerprint,actual_old_fingerprint,semantic_fingerprint_result,semantic_failure_reasons,forensic_defect,warning
EUROPE_FINANCIALS,SC-8C97ECD6C7AE3484,LIST-96B18A2F49601F96,IE00BYTRR970,WFIN,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_WORLD_FINANCIALS,MSCI_WORLD_FINANCIALS,GLOBAL,FINANCIALS,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2017-11-09,2020-08-18,3,EVD-99545ABABD127584;WFIN.LSE,EUROPE × FINANCIALS × MSCI_EUROPE_FINANCIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × FINANCIALS × MSCI_WORLD_FINANCIALS × UNHEDGED × BROAD_SECTOR,FAIL,"GEOGRAPHY:GLOBAL!=EUROPE;INDEX_OR_OBJECTIVE:MSCI_WORLD_FINANCIALS not in ['MSCI_EUROPE_FINANCIALS', 'MSCI_EUROPE_FINANCIALS_35_20_CAPPED']",Canonical route changes from Europe Financials to MSCI World Financials,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_HEALTHCARE,SC-B615478554F9855E,LIST-12D97A6B27C89061,IE00BYTRRB94,HEAW,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_WORLD_HEALTH_CARE,MSCI_WORLD_HEALTH_CARE,GLOBAL,HEALTHCARE,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2022-04-07,2026-08-21,1103,EVD-99545ABABD127584;HEAW.LSE,EUROPE × HEALTHCARE × MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × HEALTHCARE × MSCI_WORLD_HEALTH_CARE × UNHEDGED × BROAD_SECTOR,FAIL,"GEOGRAPHY:GLOBAL!=EUROPE;INDEX_OR_OBJECTIVE:MSCI_WORLD_HEALTH_CARE not in ['MSCI_EUROPE_HEALTH_CARE', 'MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED']",Canonical route changes from Europe Health Care to MSCI World Health Care,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_HEALTHCARE,SC-47A0987AB6D1A951,LIST-62AB7E6A4CF2519D,IE00BKWQ0H23,HLTH,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED,MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED,EUROPE,HEALTHCARE,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2014-12-12,2022-04-06,1844,EVD-99545ABABD127584;HLTH.LSE,EUROPE × HEALTHCARE × MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,EUROPE × HEALTHCARE × MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,PASS,NOT_APPLICABLE,Canonical route changes from Europe Health Care to MSCI World Health Care,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_HEALTHCARE,SC-B615478554F9855E,LIST-BBB2BEBB76465320,IE00BYTRRB94,WHEA,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_WORLD_HEALTH_CARE,MSCI_WORLD_HEALTH_CARE,GLOBAL,HEALTHCARE,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2017-09-15,2020-08-18,5,EVD-99545ABABD127584;WHEA.LSE,EUROPE × HEALTHCARE × MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × HEALTHCARE × MSCI_WORLD_HEALTH_CARE × UNHEDGED × BROAD_SECTOR,FAIL,"GEOGRAPHY:GLOBAL!=EUROPE;INDEX_OR_OBJECTIVE:MSCI_WORLD_HEALTH_CARE not in ['MSCI_EUROPE_HEALTH_CARE', 'MSCI_EUROPE_HEALTH_CARE_35_20_CAPPED']",Canonical route changes from Europe Health Care to MSCI World Health Care,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INDUSTRIALS,SC-373EA1A5D7A7CBE8,LIST-B6EBAFC9751E12BA,IE00BYTRRC02,WNDU,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_WORLD_INDUSTRIALS,MSCI_WORLD_INDUSTRIALS,GLOBAL,INDUSTRIALS,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2016-05-09,2026-08-21,2586,EVD-99545ABABD127584;WNDU.LSE,EUROPE × INDUSTRIALS × MSCI_EUROPE_INDUSTRIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × INDUSTRIALS × MSCI_WORLD_INDUSTRIALS × UNHEDGED × BROAD_SECTOR,FAIL,"GEOGRAPHY:GLOBAL!=EUROPE;INDEX_OR_OBJECTIVE:MSCI_WORLD_INDUSTRIALS not in ['MSCI_EUROPE_INDUSTRIALS', 'MSCI_EUROPE_INDUSTRIALS_35_20_CAPPED']",MSCI World Industrials history attached to a Europe sector family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_MATERIALS,SC-698C24B4AEFF306A,LIST-5C1A7E74DECF99D4,IE00BYTRRF33,WMAT,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_WORLD_MATERIALS,MSCI_WORLD_MATERIALS,GLOBAL,MATERIALS,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2016-05-09,2026-08-21,2590,EVD-99545ABABD127584;WMAT.LSE,EUROPE × MATERIALS × MSCI_EUROPE_MATERIALS_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × MATERIALS × MSCI_WORLD_MATERIALS × UNHEDGED × BROAD_SECTOR,FAIL,"GEOGRAPHY:GLOBAL!=EUROPE;INDEX_OR_OBJECTIVE:MSCI_WORLD_MATERIALS not in ['MSCI_EUROPE_MATERIALS', 'MSCI_EUROPE_MATERIALS_35_20_CAPPED']",MSCI World Materials history attached to a Europe sector family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_TECHNOLOGY,SC-51B319FBCD60D86C,LIST-2AD6F3AF3E653C09,IE00BYTRRD19,TECW,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_WORLD_INFORMATION_TECHNOLOGY,MSCI_WORLD_INFORMATION_TECHNOLOGY,GLOBAL,TECHNOLOGY,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2022-04-07,2026-08-21,1103,EVD-99545ABABD127584;TECW.LSE,EUROPE × TECHNOLOGY × MSCI_EUROPE_INFORMATION_TECHNOLOGY_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × TECHNOLOGY × MSCI_WORLD_INFORMATION_TECHNOLOGY × UNHEDGED × BROAD_SECTOR,FAIL,"GEOGRAPHY:GLOBAL!=EUROPE;INDEX_OR_OBJECTIVE:MSCI_WORLD_INFORMATION_TECHNOLOGY not in ['MSCI_EUROPE_INFORMATION_TECHNOLOGY', 'MSCI_EUROPE_INFORMATION_TECHNOLOGY_35_20_CAPPED']",MSCI World Technology history attached to a Europe sector family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_TECHNOLOGY,SC-51B319FBCD60D86C,LIST-47685F3F662B1CA1,IE00BYTRRD19,WTEC,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_WORLD_INFORMATION_TECHNOLOGY,MSCI_WORLD_INFORMATION_TECHNOLOGY,GLOBAL,TECHNOLOGY,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2016-05-09,2022-04-06,1496,EVD-99545ABABD127584;WTEC.LSE,EUROPE × TECHNOLOGY × MSCI_EUROPE_INFORMATION_TECHNOLOGY_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × TECHNOLOGY × MSCI_WORLD_INFORMATION_TECHNOLOGY × UNHEDGED × BROAD_SECTOR,FAIL,"GEOGRAPHY:GLOBAL!=EUROPE;INDEX_OR_OBJECTIVE:MSCI_WORLD_INFORMATION_TECHNOLOGY not in ['MSCI_EUROPE_INFORMATION_TECHNOLOGY', 'MSCI_EUROPE_INFORMATION_TECHNOLOGY_35_20_CAPPED']",MSCI World Technology history attached to a Europe sector family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_UTILITIES,SC-B452BF64FCD77810,LIST-7BB0CE9F9AA5AC1D,IE00BYTRRH56,WUTI,London Stock Exchange,XLON,STREET GLOBAL ADVISORS,STREET GLOBAL ADVISORS,MSCI_WORLD_UTILITIES,MSCI_WORLD_UTILITIES,GLOBAL,UTILITIES,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2016-05-09,2026-08-21,2586,EVD-99545ABABD127584;WUTI.LSE,EUROPE × UTILITIES × MSCI_EUROPE_UTILITIES_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × UTILITIES × MSCI_WORLD_UTILITIES × UNHEDGED × BROAD_SECTOR,FAIL,"GEOGRAPHY:GLOBAL!=EUROPE;INDEX_OR_OBJECTIVE:MSCI_WORLD_UTILITIES not in ['MSCI_EUROPE_UTILITIES', 'MSCI_EUROPE_UTILITIES_35_20_CAPPED']",MSCI World Utilities history attached to a Europe sector family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BANKS,SC-759C705FB2E2F1B7,LIST-167310210B197CB6,IE00B5MTWD60,X7PP,London Stock Exchange,XLON,INVESCO,INVESCO,STOXX_EUROPE_600_OPTIMISED_BANKS,STOXX_EUROPE_600_OPTIMISED_BANKS,EUROPE,BANKS,UNHEDGED,INDUSTRY,NOT_AVAILABLE,NOT_AVAILABLE,2014-07-03,2026-08-21,3062,EVD-EB0762A0D9B5DA0F;X7PP.LSE,GLOBAL × BANKS × GLOBAL_DEVELOPED_BANKS × UNHEDGED × INDUSTRY,EUROPE × BANKS × STOXX_EUROPE_600_OPTIMISED_BANKS × UNHEDGED × INDUSTRY,FAIL,GEOGRAPHY:EUROPE!=GLOBAL;INDEX_OR_OBJECTIVE:STOXX_EUROPE_600_OPTIMISED_BANKS not in ['GLOBAL_DEVELOPED_BANKS'],Europe banks and one development-bank bond observation attached to a global-banks family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BANKS,SC-B7E637523F428BA3,LIST-3B49095AA9CDD79E,LU1852212965,MDBU,London Stock Exchange,XLON,UBS,UBS,MULTILATERAL_DEVELOPMENT_BANK_BONDS,MULTILATERAL_DEVELOPMENT_BANK_BONDS,GLOBAL,DEVELOPMENT_BANK_BONDS,UNHEDGED,BOND_ISSUER_TYPE,NOT_AVAILABLE,NOT_AVAILABLE,2020-08-11,2020-08-26,3,EVD-8B347403996F2BB4;MDBU.LSE,GLOBAL × BANKS × GLOBAL_DEVELOPED_BANKS × UNHEDGED × INDUSTRY,GLOBAL × DEVELOPMENT_BANK_BONDS × MULTILATERAL_DEVELOPMENT_BANK_BONDS × UNHEDGED × BOND_ISSUER_TYPE,FAIL,BREADTH:BOND_ISSUER_TYPE!=INDUSTRY;INDEX_OR_OBJECTIVE:MULTILATERAL_DEVELOPMENT_BANK_BONDS not in ['GLOBAL_DEVELOPED_BANKS'];SECTOR_OR_INDUSTRY:DEVELOPMENT_BANK_BONDS!=BANKS,Europe banks and one development-bank bond observation attached to a global-banks family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BANKS,SC-759C705FB2E2F1B7,LIST-7D5DBB1814646177,IE00B5MTWD60,X7PS,London Stock Exchange,XLON,INVESCO,INVESCO,STOXX_EUROPE_600_OPTIMISED_BANKS,STOXX_EUROPE_600_OPTIMISED_BANKS,EUROPE,BANKS,UNHEDGED,INDUSTRY,NOT_AVAILABLE,NOT_AVAILABLE,2011-08-31,2017-11-09,449,EVD-EB0762A0D9B5DA0F;X7PS.LSE,GLOBAL × BANKS × GLOBAL_DEVELOPED_BANKS × UNHEDGED × INDUSTRY,EUROPE × BANKS × STOXX_EUROPE_600_OPTIMISED_BANKS × UNHEDGED × INDUSTRY,FAIL,GEOGRAPHY:EUROPE!=GLOBAL;INDEX_OR_OBJECTIVE:STOXX_EUROPE_600_OPTIMISED_BANKS not in ['GLOBAL_DEVELOPED_BANKS'],Europe banks and one development-bank bond observation attached to a global-banks family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_HEALTHCARE,SC-3108ECD63BA1F32D,LIST-A36F0D56082B7FAD,LU0533033311,HLTW,London Stock Exchange,XLON,AMUNDI,AMUNDI,MSCI_WORLD_HEALTH_CARE,MSCI_WORLD_HEALTH_CARE,GLOBAL,HEALTHCARE,UNHEDGED,BROAD_SECTOR,NOT_AVAILABLE,NOT_AVAILABLE,2011-05-17,2017-11-09,923,EVD-44E73C12472C3C50;HLTW.LSE,GLOBAL × HEALTHCARE × MSCI_WORLD_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × HEALTHCARE × MSCI_WORLD_HEALTH_CARE × UNHEDGED × BROAD_SECTOR,PASS,NOT_APPLICABLE,Broad world-health history changes into healthcare-innovation thematic implementations,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_HEALTHCARE,SC-FDF155B1F0B405F8,LIST-D692419D6055D284,IE00BYZK4776,DRDR,London Stock Exchange,XLON,ISHARES,ISHARES,THEMATIC_HEALTHCARE_INNOVATION,THEMATIC_HEALTHCARE_INNOVATION,GLOBAL,HEALTHCARE_INNOVATION,UNHEDGED,THEME,NOT_AVAILABLE,NOT_AVAILABLE,2016-09-15,2026-08-21,2508,DRDR.LSE;EVD-0FFBE289C2E411CD;EVD-A4DE90620BC0EBFF;EVD-CB3FE38915004BFF,GLOBAL × HEALTHCARE × MSCI_WORLD_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × HEALTHCARE_INNOVATION × THEMATIC_HEALTHCARE_INNOVATION × UNHEDGED × THEME,FAIL,"BREADTH:THEME!=BROAD_SECTOR;INDEX_OR_OBJECTIVE:THEMATIC_HEALTHCARE_INNOVATION not in ['MSCI_WORLD_HEALTH_CARE', 'MSCI_WORLD_HEALTH_CARE_35_20_CAPPED'];SECTOR_OR_INDUSTRY:HEALTHCARE_INNOVATION!=HEALTHCARE",Broad world-health history changes into healthcare-innovation thematic implementations,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_HEALTHCARE,SC-E73F278DFF04CA25,LIST-EC3A8432F3152A6A,IE00BJQTJ848,WELP,London Stock Exchange,XLON,HANETF,HANETF,HEALTH_AND_WELLNESS_THEME,HEALTH_AND_WELLNESS_THEME,GLOBAL,HEALTH_AND_WELLNESS,UNHEDGED,THEME,NOT_AVAILABLE,NOT_AVAILABLE,2019-10-25,2019-10-25,1,EVD-A6E53D0318F1EF38;WELP.LSE,GLOBAL × HEALTHCARE × MSCI_WORLD_HEALTH_CARE_35_20_CAPPED × UNHEDGED × BROAD_SECTOR,GLOBAL × HEALTH_AND_WELLNESS × HEALTH_AND_WELLNESS_THEME × UNHEDGED × THEME,FAIL,"BREADTH:THEME!=BROAD_SECTOR;INDEX_OR_OBJECTIVE:HEALTH_AND_WELLNESS_THEME not in ['MSCI_WORLD_HEALTH_CARE', 'MSCI_WORLD_HEALTH_CARE_35_20_CAPPED'];SECTOR_OR_INDUSTRY:HEALTH_AND_WELLNESS!=HEALTHCARE",Broad world-health history changes into healthcare-innovation thematic implementations,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_INFRASTRUCTURE,SC-925443E9DAA0708A,LIST-423383BC958C5AFC,IE00BLCHJ641,PAVG,London Stock Exchange,XLON,GLOBAL X,GLOBAL X ETFS ICAV,US_INFRASTRUCTURE_DEVELOPMENT,US_INFRASTRUCTURE_DEVELOPMENT,UNITED_STATES,INFRASTRUCTURE,UNHEDGED,THEME,NOT_AVAILABLE,NOT_AVAILABLE,2021-11-09,2026-08-21,1207,EVD-2B2E092D8EB76897;PAVG.LSE,GLOBAL × INFRASTRUCTURE × FTSE_GLOBAL_CORE_INFRASTRUCTURE × UNHEDGED × LISTED_INFRASTRUCTURE,UNITED_STATES × INFRASTRUCTURE × US_INFRASTRUCTURE_DEVELOPMENT × UNHEDGED × THEME,FAIL,"BREADTH:THEME!=LISTED_INFRASTRUCTURE;GEOGRAPHY:UNITED_STATES!=GLOBAL;INDEX_OR_OBJECTIVE:US_INFRASTRUCTURE_DEVELOPMENT not in ['FTSE_GLOBAL_CORE_INFRASTRUCTURE', 'MACQUARIE_GLOBAL_INFRASTRUCTURE_100']",US and Europe infrastructure products attached to a stable global-infrastructure family,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
