economic_exposure_family_id,economic_exposure_name,overlap_cluster_id,overlap_basis,parent_exposure_family_id,secondary_parent_exposure_family_id,economic_beta_cluster,rotation_pool_id,holdings_overlap_metric_status,exact_holdings_overlap_percent,overlap_does_not_imply_duplicate,common_beta_control_available_for_later_research,evidence_basis,warning
EMERGING_MARKETS,Broad emerging-market equities,OVL_EMERGING_ASIA_EQUITY,COMMON_GEOGRAPHIC_BETA,GLOBAL_ALL_WORLD,NOT_APPLICABLE,BETA_EMERGING_ASIA_EQUITY,POOL_BROAD_GEOGRAPHY_PRIMARY,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_AEROSPACE_DEFENCE,Aerospace and defence businesses,OVL_INDUSTRIAL_DEFENCE_INFRA,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,EUROPE_INDUSTRIALS,EUROPE_BROAD,BETA_INDUSTRIALS,POOL_EUROPE_THEMES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_BANKS,Europe banking industry,OVL_FINANCIALS_AND_BANKS,STRONG_PARENT_CHILD_OVERLAP,EUROPE_FINANCIALS,NOT_APPLICABLE,BETA_FINANCIALS,POOL_EUROPE_INDUSTRIES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_BROAD,Broad developed European equities,OVL_EUROPE_BROAD_EQUITY,COMMON_GEOGRAPHIC_BETA,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,BETA_EUROPE_EQUITY,POOL_BROAD_GEOGRAPHY_PRIMARY,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_CONSUMER_STAPLES,Broad consumer-staples sector,OVL_CONSUMER_AND_RETAIL,COMMON_SECTOR_BETA,EUROPE_BROAD,NOT_APPLICABLE,BETA_CONSUMER_STAPLES,POOL_EUROPE_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_ENERGY,Broad global energy sector,OVL_ENERGY_AND_TRANSITION,COMMON_SECTOR_OR_THEMATIC_BETA,EUROPE_BROAD,NOT_APPLICABLE,BETA_ENERGY,POOL_EUROPE_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_EX_UK,Developed Europe excluding the UK,OVL_EUROPE_BROAD_EQUITY,COMMON_GEOGRAPHIC_BETA,EUROPE_BROAD,GLOBAL_DEVELOPED_WORLD,BETA_EUROPE_EQUITY,POOL_REGIONAL_SATELLITES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_FINANCIALS,Broad global financials sector,OVL_FINANCIALS_AND_BANKS,STRONG_PARENT_CHILD_OVERLAP,EUROPE_BROAD,NOT_APPLICABLE,BETA_FINANCIALS,POOL_EUROPE_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_HEALTHCARE,Broad global healthcare sector,OVL_HEALTHCARE_INNOVATION,STRONG_PARENT_CHILD_OR_INDUSTRY_OVERLAP,EUROPE_BROAD,NOT_APPLICABLE,BETA_HEALTHCARE,POOL_EUROPE_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INDUSTRIALS,Broad global industrials sector,OVL_INDUSTRIAL_DEFENCE_INFRA,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,EUROPE_BROAD,NOT_APPLICABLE,BETA_INDUSTRIALS,POOL_EUROPE_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_INFRASTRUCTURE,Europe listed infrastructure,OVL_INDUSTRIAL_DEFENCE_INFRA,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,EUROPE_INDUSTRIALS,EUROPE_BROAD,BETA_INDUSTRIALS,POOL_EUROPE_THEMES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_MATERIALS,Broad global materials sector,OVL_MATERIALS_AND_MINERS,STRONG_PARENT_CHILD_OR_COMMODITY_SENSITIVITY,EUROPE_BROAD,NOT_APPLICABLE,BETA_MATERIALS,POOL_EUROPE_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_TECHNOLOGY,Broad global technology sector,OVL_TECHNOLOGY_INNOVATION,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,EUROPE_BROAD,NOT_APPLICABLE,BETA_TECHNOLOGY,POOL_EUROPE_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROPE_UTILITIES,Broad global utilities sector,OVL_UTILITIES_AND_WATER,COMMON_SECTOR_OR_INFRASTRUCTURE_BETA,EUROPE_BROAD,NOT_APPLICABLE,BETA_UTILITIES,POOL_EUROPE_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROZONE,Eurozone equities,OVL_EUROPE_BROAD_EQUITY,COMMON_GEOGRAPHIC_BETA,EUROPE_BROAD,NOT_APPLICABLE,BETA_EUROPE_EQUITY,POOL_BROAD_GEOGRAPHY_PRIMARY,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUROZONE_USD_HEDGED,Eurozone equities hedged to USD,OVL_EUROPE_BROAD_EQUITY,COMMON_GEOGRAPHIC_BETA,EUROZONE,NOT_APPLICABLE,BETA_EUROPE_EQUITY,POOL_HEDGED_GEOGRAPHY_VARIANTS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
EUR_OVERNIGHT_CASH,Euro overnight-rate exposure,OVL_CASH_AND_SHORT_RATES,COMMON_RATE_BETA,NOT_APPLICABLE,NOT_APPLICABLE,BETA_CASH_RATE,POOL_DEFENSIVE_CASH_LIKE,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GBP_CORPORATE_IG,Sterling investment-grade corporate bonds,OVL_STERLING_FIXED_INCOME,COMMON_DURATION_CREDIT_BETA,NOT_APPLICABLE,NOT_APPLICABLE,BETA_FIXED_INCOME,POOL_DEFENSIVE_FIXED_INCOME,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GBP_OVERNIGHT_CASH,Sterling overnight-rate exposure,OVL_CASH_AND_SHORT_RATES,COMMON_RATE_BETA,ACTUAL_GBP_CASH,NOT_APPLICABLE,BETA_CASH_RATE,POOL_DEFENSIVE_CASH_LIKE,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_AEROSPACE_DEFENCE,Aerospace and defence businesses,OVL_INDUSTRIAL_DEFENCE_INFRA,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,GLOBAL_INDUSTRIALS,NOT_APPLICABLE,BETA_INDUSTRIALS,POOL_GLOBAL_THEMES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_AGGREGATE_BONDS_GBP_HEDGED,Global aggregate bonds hedged to sterling,OVL_STERLING_FIXED_INCOME,COMMON_DURATION_CREDIT_BETA,NOT_APPLICABLE,NOT_APPLICABLE,BETA_FIXED_INCOME,POOL_DEFENSIVE_FIXED_INCOME,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_AGRIBUSINESS,Agricultural inputs and food value chain,OVL_CONSUMER_AND_RETAIL,COMMON_SECTOR_BETA,NOT_APPLICABLE,NOT_APPLICABLE,BETA_CONSUMER_STAPLES,POOL_GLOBAL_THEMES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_AI,Artificial-intelligence value chain,OVL_TECHNOLOGY_INNOVATION,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,GLOBAL_TECHNOLOGY,NOT_APPLICABLE,BETA_TECHNOLOGY,POOL_GLOBAL_THEMES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_ALL_WORLD,Developed and emerging all-world equities,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,NOT_APPLICABLE,NOT_APPLICABLE,BETA_GLOBAL_OR_OTHER_EQUITY,POOL_GLOBAL_BENCHMARK_REFERENCES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BANKS,Global banking industry,OVL_FINANCIALS_AND_BANKS,STRONG_PARENT_CHILD_OVERLAP,GLOBAL_FINANCIALS,NOT_APPLICABLE,BETA_FINANCIALS,POOL_GLOBAL_INDUSTRIES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BATTERY_EV,Battery and electric-vehicle value chain,OVL_INDUSTRIAL_DEFENCE_INFRA,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,GLOBAL_INDUSTRIALS,GLOBAL_MATERIALS,BETA_INDUSTRIALS,POOL_GLOBAL_THEMES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BIOTECHNOLOGY,Biotechnology industry,OVL_HEALTHCARE_INNOVATION,STRONG_PARENT_CHILD_OR_INDUSTRY_OVERLAP,GLOBAL_HEALTHCARE,US_HEALTHCARE,BETA_HEALTHCARE,POOL_GLOBAL_INDUSTRIES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CLEAN_ENERGY,Clean-energy value chain,OVL_ENERGY_AND_TRANSITION,COMMON_SECTOR_OR_THEMATIC_BETA,GLOBAL_UTILITIES,GLOBAL_ENERGY,BETA_UTILITIES,POOL_GLOBAL_THEMES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CORPORATE_IG_GBP_HEDGED,Global investment-grade corporate bonds hedged to sterling,OVL_STERLING_FIXED_INCOME,COMMON_DURATION_CREDIT_BETA,NOT_APPLICABLE,NOT_APPLICABLE,BETA_FIXED_INCOME,POOL_DEFENSIVE_FIXED_INCOME,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CYBERSECURITY,Global cybersecurity businesses,OVL_TECHNOLOGY_INNOVATION,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,GLOBAL_TECHNOLOGY,NOT_APPLICABLE,BETA_TECHNOLOGY,POOL_GLOBAL_THEMES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_DEVELOPED_WORLD,Broad developed-world equities,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,GLOBAL_ALL_WORLD,NOT_APPLICABLE,BETA_GLOBAL_OR_OTHER_EQUITY,POOL_GLOBAL_BENCHMARK_REFERENCES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_DEVELOPED_WORLD_EUR_HEDGED,Broad developed-world equities hedged to EUR,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,BETA_GLOBAL_OR_OTHER_EQUITY,POOL_GLOBAL_BENCHMARK_REFERENCES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_DEVELOPED_WORLD_GBP_HEDGED,Broad developed-world equities hedged to GBP,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,BETA_GLOBAL_OR_OTHER_EQUITY,POOL_GLOBAL_BENCHMARK_REFERENCES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_ENERGY,Broad global energy sector,OVL_ENERGY_AND_TRANSITION,COMMON_SECTOR_OR_THEMATIC_BETA,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,BETA_ENERGY,POOL_GLOBAL_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_FINANCIALS,Broad global financials sector,OVL_FINANCIALS_AND_BANKS,STRONG_PARENT_CHILD_OVERLAP,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,BETA_FINANCIALS,POOL_GLOBAL_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_GENOMICS,Genomics and genomic medicine,OVL_HEALTHCARE_INNOVATION,STRONG_PARENT_CHILD_OR_INDUSTRY_OVERLAP,GLOBAL_BIOTECHNOLOGY,GLOBAL_HEALTHCARE,BETA_HEALTHCARE,POOL_GLOBAL_THEMES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_GOLD_MINERS,Global gold-mining equities,OVL_MATERIALS_AND_MINERS,STRONG_PARENT_CHILD_OR_COMMODITY_SENSITIVITY,GLOBAL_MATERIALS,GOLD,BETA_MATERIALS,POOL_GLOBAL_INDUSTRIES,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_HEALTHCARE,Broad global healthcare sector,OVL_HEALTHCARE_INNOVATION,STRONG_PARENT_CHILD_OR_INDUSTRY_OVERLAP,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,BETA_HEALTHCARE,POOL_GLOBAL_BROAD_SECTORS,NOT_MEASURED_A3R0_NOT_REQUIRED_FOR_PASS,NOT_AVAILABLE,YES,YES,A0A1_CLASSIFICATION_PLUS_EXPLICIT_A3R0_ECONOMIC_HIERARCHY,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
