economic_exposure_family_id,economic_exposure_name,primary_rotation_role,research_maturity,first_valid_date,last_valid_date,valid_endpoint_count,five_year_window_start,data_cutoff,launched_within_final_five_years,valid_near_cutoff,implementation_transition_count,implementation_transition_dates,recent_external_event_count,recent_external_events,recent_external_event_dates,a3r2u_lse_current_status,current_implementable_view,lifecycle_primary_state,recent_survivorship_census_classification,survivorship_limitation,warning
EMERGING_MARKETS,Broad emerging-market equities,BROAD_GEOGRAPHY_ROTATION,MATURE,2012-06-01,2026-08-21,3563.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_AEROSPACE_DEFENCE,Aerospace and defence businesses,THEME_ROTATION,DEVELOPING,2019-07-08,2026-08-21,920.0,2021-08-23,2026-08-21,NO,YES,11,2025-03-17;2025-05-06;2025-05-07;2025-05-27;2025-05-28;2025-08-26;2025-08-27;2026-05-05;2026-05-06;2026-05-26;2026-05-27,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_BANKS,Europe banking industry,INDUSTRY_ROTATION,MATURE,2014-10-29,2026-08-21,2980.0,2021-08-23,2026-08-21,NO,YES,6,2020-08-06;2020-08-07;2022-12-28;2022-12-29;2023-08-29;2023-08-30,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_BROAD,Broad developed European equities,BROAD_GEOGRAPHY_ROTATION,MATURE,2010-06-01,2026-08-21,3412.0,2021-08-23,2026-08-21,NO,YES,67,2013-05-20;2013-05-22;2013-05-30;2013-06-06;2013-06-12;2013-06-24;2013-06-27;2013-07-01;2013-07-03;2013-07-10;2013-07-16;2013-07-31;2013-08-02;2013-08-22;2013-08-27;2013-08-30;2013-09-04;2013-09-20;2013-09-25;2013-10-02;2013-10-04;2013-10-21;2013-10-25;2013-10-30;2013-11-01;2013-11-04;2013-11-07;2013-11-11;2013-11-19;2013-11-20;2013-11-28;2013-12-09;2013-12-11;2017-09-15;2017-09-18;2017-10-13;2017-10-16;2017-11-03;2017-11-06;2017-11-09;2017-11-10;2018-08-28;2018-08-29;2019-05-07;2019-05-08;2019-08-27;2019-08-28;2020-05-11;2020-05-12;2020-07-24;2020-07-30;2020-08-04;2020-08-06;2020-08-07;2020-08-11;2020-08-13;2020-08-20;2020-08-26;2020-08-27;2020-09-01;2020-09-02;2020-12-29;2020-12-30;2021-05-04;2021-05-05;2023-04-11;2023-04-12,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_COMMUNICATION_SERVICES,Broad Europe communication services sector,SECTOR_ROTATION,DEVELOPING,2017-10-03,2026-08-21,1059.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_CONSUMER_DISCRETIONARY,Broad Europe consumer discretionary sector,SECTOR_ROTATION,MATURE,2014-12-12,2026-08-21,2886.0,2021-08-23,2026-08-21,NO,YES,1,2022-05-06,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_CONSUMER_STAPLES,Broad consumer-staples sector,SECTOR_ROTATION,MATURE,2014-12-12,2026-08-21,2887.0,2021-08-23,2026-08-21,NO,YES,1,2022-04-27,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_ENERGY,Broad Europe energy sector,SECTOR_ROTATION,MATURE,2016-02-11,2026-08-21,1761.0,2021-08-23,2026-08-21,NO,YES,1,2022-04-07,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_EX_UK,Developed Europe excluding the UK,BROAD_GEOGRAPHY_ROTATION,MATURE,2017-08-16,2026-08-21,2259.0,2021-08-23,2026-08-21,NO,YES,15,2019-10-25;2019-10-28;2020-07-23;2020-07-30;2020-08-04;2020-08-07;2020-08-11;2020-08-18;2020-08-19;2020-08-26;2020-08-27;2023-01-03;2023-01-04;2024-08-27;2024-08-28,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_FINANCIALS,Broad Europe financials sector,SECTOR_ROTATION,MATURE,2014-12-12,2026-08-21,2943.0,2021-08-23,2026-08-21,NO,YES,1,2022-04-07,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_HEALTHCARE,Broad Europe healthcare sector,SECTOR_ROTATION,MATURE,2014-12-12,2026-08-21,2859.0,2021-08-23,2026-08-21,NO,YES,107,2022-04-19;2022-04-21;2022-05-03;2022-05-09;2022-05-17;2022-05-25;2022-06-01;2022-06-09;2022-06-10;2022-06-14;2022-06-15;2022-06-17;2022-06-20;2022-06-23;2022-07-06;2022-07-13;2022-07-14;2022-07-18;2022-07-19;2022-07-25;2022-07-26;2022-08-03;2022-08-04;2022-08-08;2022-08-09;2022-08-11;2022-08-15;2022-08-18;2022-08-23;2022-09-02;2022-09-05;2022-09-09;2022-09-12;2022-09-14;2022-09-15;2022-09-23;2022-10-13;2022-10-21;2022-11-04;2022-11-25;2022-11-28;2022-12-06;2022-12-09;2022-12-13;2022-12-16;2022-12-29;2023-01-04;2023-01-10;2023-01-11;2023-01-13;2023-01-16;2023-01-24;2023-02-03;2023-02-10;2023-02-14;2023-02-20;2023-02-21;2023-02-24;2023-03-01;2023-05-05;2023-05-10;2023-06-21;2023-06-29;2023-07-04;2023-07-11;2023-07-13;2023-07-18;2023-08-30;2023-08-31;2023-09-04;2023-09-05;2023-09-07;2023-09-12;2023-09-15;2023-09-18;2023-09-21;2023-09-22;2023-09-29;2023-10-02;2023-10-17;2023-10-18;2023-10-26;2023-10-30;2024-09-04;2024-09-05;2024-09-25;2024-09-30;2024-10-14;2024-10-15;2024-11-25;2024-11-26;2024-12-10;2024-12-11;2024-12-27;2025-01-03;2025-01-28;2025-01-31;2025-02-18;2025-02-19;2025-03-10;2025-03-11;2025-03-20;2025-03-21;2025-04-11;2025-04-14;2025-04-25;2025-04-28,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_INDUSTRIALS,Broad Europe industrials sector,SECTOR_ROTATION,MATURE,2014-12-12,2026-08-21,2940.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_INFRASTRUCTURE,Europe listed infrastructure,THEME_ROTATION,NEW,2026-02-12,2026-08-21,133.0,2021-08-23,2026-08-21,YES,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,LAUNCHED_WITHIN_FINAL_FIVE_YEARS,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_MATERIALS,Broad Europe materials sector,SECTOR_ROTATION,DEVELOPING,2017-01-04,2026-08-21,874.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_REAL_ESTATE,Europe listed real estate,SECTOR_ROTATION,MATURE,2010-09-03,2026-08-21,3528.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_TECHNOLOGY,Broad Europe technology sector,SECTOR_ROTATION,MATURE,2014-12-12,2026-08-21,2936.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_UTILITIES,Broad Europe utilities sector,SECTOR_ROTATION,MATURE,2014-12-12,2026-08-21,2928.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROZONE,Eurozone equities,BROAD_GEOGRAPHY_ROTATION,MATURE,2011-03-16,2026-08-21,3444.0,2021-08-23,2026-08-21,NO,YES,19,2011-06-28;2011-07-12;2011-08-11;2011-11-14;2012-04-03;2012-05-25;2012-05-28;2012-06-14;2012-06-20;2012-10-11;2012-10-12;2012-10-17;2012-12-28;2013-01-04;2013-03-28;2013-04-09;2013-05-14;2017-11-09;2017-11-10,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
