signal_id,frequency_id,forward_horizon_sessions,metric,observation_count,block_length,replications,ci_low,ci_high,confidence_interval_excludes_zero_positive,historical_eligibility_warning
ABS_POS_252,MONTH_END,21,IC,63,5,2000,-0.04453126847881442,0.16596797433579713,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,21,TOP_MINUS_BOTTOM_SPREAD,86,5,2000,-0.006223853778033237,0.014501108812618907,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,IC,61,5,2000,-0.03548001074133642,0.21031834954201026,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,42,TOP_MINUS_BOTTOM_SPREAD,83,5,2000,-0.0060749751046415895,0.028515379632407772,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,63,IC,60,5,2000,-0.04036925140418062,0.284372981507918,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABS_POS_252,MONTH_END,63,TOP_MINUS_BOTTOM_SPREAD,80,5,2000,-0.004567041860595867,0.047758294004498957,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,WEEKLY_WEDNESDAY,21,IC,300,5,2000,-0.06782945878309762,0.0734962097059941,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,WEEKLY_WEDNESDAY,21,TOP_MINUS_BOTTOM_SPREAD,415,5,2000,-0.008187604430298508,0.006896631150163686,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,WEEKLY_WEDNESDAY,42,IC,288,9,2000,-0.07583802465980095,0.13203888254962587,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,WEEKLY_WEDNESDAY,42,TOP_MINUS_BOTTOM_SPREAD,406,9,2000,-0.009436433121573195,0.01798163091917417,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,WEEKLY_WEDNESDAY,63,IC,274,13,2000,-0.07373741491796644,0.1723600712945007,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,WEEKLY_WEDNESDAY,63,TOP_MINUS_BOTTOM_SPREAD,388,13,2000,-0.01263688772585228,0.025366252710086516,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,MONTH_END,21,IC,68,5,2000,-0.06485167648618784,0.1066978600677996,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,MONTH_END,21,TOP_MINUS_BOTTOM_SPREAD,99,5,2000,-0.012379152792543426,0.006798614407492323,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,MONTH_END,42,IC,64,5,2000,-0.05395915311228947,0.15419114644321774,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,MONTH_END,42,TOP_MINUS_BOTTOM_SPREAD,95,5,2000,-0.009742796141630367,0.021501938592751124,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,MONTH_END,63,IC,62,5,2000,-0.06088694650118976,0.21844517022626012,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
TREND_MA_252,MONTH_END,63,TOP_MINUS_BOTTOM_SPREAD,90,5,2000,-0.008192828027255988,0.031485203626239744,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
